0.000	0.100	0.200	0.400	0.500	0.900	0.900	1.100	1.300	1.300	1.300	1.200	0.900	0.900	0.800	0.600	0.600	0.600	0.300	0.100	0.100	0.100	0.100	0.100	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.100	0.900	2.500	3.700	5.000	5.900	7.800	7.800	7.900	8.300	8.100	7.500	7.000	6.400	6.400	5.300	5.300	3.900	3.500	2.800	2.300	1.900	1.600	1.300	0.900	0.600	0.400	0.150	0.100	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.200	2.500	5.700	9.000	11.00	14.10	16.50	17.80	18.80	18.80	18.80	17.50	16.30	14.80	13.20	11.70	10.40	9.200	7.900	7.000	5.500	4.500	3.800	3.000	2.200	1.600	1.100	0.700	0.400	0.150	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.400	3.700	9.000	14.00	18.40	22.00	25.40	27.70	29.00	29.20	28.60	27.10	25.10	22.90	20.50	18.40	16.50	14.20	12.20	10.20	8.600	7.100	6.000	4.800	3.600	2.600	1.800	1.100	0.600	0.300	0.300	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.500	5.000	11.00	18.40	23.70	29.00	33.10	36.20	38.00	38.10	37.30	35.70	32.90	30.00	26.70	24.30	21.10	28.80	16.00	13.60	11.20	9.400	7.800	6.200	4.800	3.600	2.200	1.500	0.900	0.400	0.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.900	5.900	14.10	22.00	29.00	36.00	40.50	44.10	46.30	46.40	45.60	43.70	40.20	36.40	32.80	29.10	26.10	22.70	19.60	17.00	13.60	11.20	9.400	7.800	6.200	4.200	2.800	1.900	1.200	0.500	0.400	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.900	7.800	16.50	25.40	33.10	40.50	46.40	50.30	52.90	53.10	52.00	49.60	46.10	41.80	37.40	33.30	29.90	26.10	22.20	19.00	15.60	13.00	11.20	8.800	6.200	4.500	3.300	2.100	1.300	0.700	0.500	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.100	7.800	17.80	27.70	36.20	44.10	50.30	54.70	57.40	57.70	56.50	53.70	49.90	45.50	40.50	36.20	32.30	29.10	23.80	20.50	17.00	14.00	11.80	9.500	7.200	5.100	3.500	2.100	1.300	0.800	0.600	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.300	7.900	18.80	29.00	38.00	46.30	52.90	57.40	60.20	60.50	59.40	56.50	52.30	47.80	42.60	38.00	34.00	29.80	25.40	21.40	17.90	14.90	12.30	10.00	7.500	5.400	3.700	2.100	1.300	0.800	0.600	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.300	8.300	18.80	29.20	38.10	46.40	53.10	57.70	60.50	60.90	59.60	56.70	52.60	48.00	42.80	38.20	34.20	29.90	25.40	21.50	17.90	14.90	12.30	10.00	7.500	5.400	3.700	2.100	1.300	0.800	0.600	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.300	8.100	18.80	28.60	37.30	45.60	52.00	56.50	59.40	59.60	58.40	55.50	51.60	46.90	41.80	37.40	33.40	29.20	24.90	21.10	17.60	14.60	12.10	9.800	7.300	5.300	3.600	2.100	1.300	0.800	0.600	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.200	7.500	17.50	27.10	35.70	43.70	49.60	53.70	56.40	56.70	55.50	52.90	49.30	44.60	40.00	35.60	31.80	27.60	23.70	20.00	17.00	14.00	11.80	9.500	7.200	5.100	3.500	2.100	1.300	0.800	0.500	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.900	7.000	16.30	25.10	32.90	40.20	46.10	49.90	52.30	52.60	51.60	49.30	45.60	41.50	37.00	33.00	29.50	25.80	22.20	19.00	15.60	13.00	11.20	8.800	6.200	4.500	3.300	2.100	1.300	0.700	0.500	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.900	6.400	14.80	22.90	30.00	36.40	41.80	45.50	47.80	48.00	46.90	44.60	41.50	37.80	33.70	30.00	26.90	23.40	20.00	17.10	14.10	11.60	9.800	7.800	5.800	4.200	2.800	1.800	1.200	0.600	0.300	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000   0.000
0.800	6.400	13.20	20.50	26.70	32.80	37.40	40.50	42.60	42.80	41.80	40.00	37.00	33.70	30.10	26.90	24.00	20.80	18.00	15.30	12.70	10.30	8.700	7.100	5.300	3.800	2.700	1.800	1.000	0.500	0.400	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.600	5.300	11.70	18.40	24.30	29.10	33.30	36.20	38.00	38.20	37.40	35.60	33.00	30.00	26.90	24.00	21.40	18.80	16.00	13.60	11.20	9.800	7.800	6.200	4.200	3.400	2.300	1.600	0.900	0.400	0.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.600	5.300	10.40	16.50	21.10	26.10	29.90	32.30	34.00	34.20	33.40	31.80	29.50	26.90	24.00	21.40	19.20	16.90	14.30	12.10	10.40	8.400	7.000	5.800	4.200	3.000	2.000	1.400	0.700	0.400	0.300	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.600	3.900	9.200	14.20	28.80	22.70	26.10	29.10	29.80	29.90	29.20	27.60	25.80	23.40	20.80	18.80	16.90	14.70	12.50	10.60	8.700	7.300	6.100	4.900	3.700	2.600	1.800	1.100	0.600	0.300	0.300	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.300	3.500	7.900	12.20	16.00	19.60	22.20	23.80	25.40	25.40	24.90	23.70	22.20	20.00	18.00	16.00	14.30	12.50	10.70	9.100	7.600	6.200	5.100	4.100	3.100	2.200	1.600	0.900	0.500	0.300	0.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.100	2.800	7.000	10.20	13.60	17.00	19.00	20.50	21.40	21.50	21.10	20.00	19.00	17.10	15.30	13.60	12.10	10.60	9.100	7.800	6.400	5.300	4.400	3.500	2.600	1.900	1.300	0.700	0.400	0.200	0.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.100	2.300	5.500	8.600	11.20	13.60	15.60	17.00	17.90	17.90	17.60	17.00	15.60	14.10	12.70	11.20	10.40	8.700	7.600	6.400	5.300	4.300	3.600	2.800	2.100	1.600	1.000	0.700	0.300	0.200	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.100	1.900	4.500	7.100	9.400	11.20	13.00	14.00	14.90	14.90	14.60	14.00	13.00	11.60	10.30	9.800	8.400	7.300	6.200	5.300	4.300	3.600	3.000	2.300	1.800	1.300	0.700	0.500	0.300	0.100	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.100	1.600	3.800	6.000	7.800	9.400	11.20	11.80	12.30	12.30	12.10	11.80	11.20	9.800	8.700	7.800	7.000	6.100	5.100	4.400	3.600	3.000	2.500	2.000	1.400	1.000	0.700	0.400	0.200	0.100	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.100	1.300	3.000	4.800	6.200	7.800	8.800	9.500	10.00	10.00	9.800	9.500	8.800	7.800	7.100	6.200	5.800	4.900	4.100	3.500	2.800	2.300	2.000	1.600	1.100	0.900	0.500	0.300	0.200	0.100	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.100	0.900	2.200	3.600	4.800	6.200	6.200	7.200	7.500	7.500	7.300	7.200	6.200	5.800	5.300	4.200	4.200	3.700	3.100	2.600	2.100	1.800	1.400	1.100	0.900	0.500	0.300	0.200	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.600	1.600	2.600	3.600	4.200	4.500	5.100	5.400	5.400	5.300	5.100	4.500	4.200	3.800	3.400	3.000	2.600	2.200	1.900	1.600	1.300	1.000	0.900	0.500	0.400	0.200	0.100	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.400	1.100	1.800	2.200	2.800	3.300	3.500	3.700	3.700	3.600	3.500	3.300	2.800	2.700	2.300	2.000	1.800	1.600	1.300	1.000	0.700	0.700	0.500	0.300	0.200	0.100	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.150	0.700	1.100	1.500	1.900	2.100	2.100	2.100	2.100	2.100	2.100	2.100	1.800	1.800	1.600	1.400	1.100	0.900	0.700	0.700	0.500	0.400	0.300	0.200	0.100	0.100	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.100	0.400	0.600	0.900	1.200	1.300	1.300	1.300	1.300	1.300	1.300	1.300	1.200	1.000	0.900	0.700	0.600	0.500	0.400	0.300	0.300	0.200	0.200	0.100	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.100	0.150	0.300	0.400	0.500	0.700	0.800	0.800	0.800	0.800	0.800	0.700	0.600	0.500	0.400	0.400	0.300	0.300	0.200	0.200	0.100	0.100	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.100	0.300	0.400	0.400	0.500	0.600	0.600	0.600	0.600	0.500	0.500	0.300	0.400	0.400	0.300	0.300	0.200	0.200	0.100	0.100	0.100	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
